Hashtag ,Frequency (% of videos) 
#labgrownmeat,37
#cultivatedmeat,37
#culturedmeat,14
#vegan,13
#labgrown,10
#science,10
#plantbased,8
#fakemeat,7
#florida,6
#sustainability,6
#meatalternative,6
#labmeat,6
#fyp,6
#vegetarian,5
#future,5
#foodtech,4
#foodnews,4
#foodpolicy,4
#3dbioprinting,3
#labgrownchicken,3
#cellularagriculture,3
#upsidefoods,3
#climatechange,3
