videoID,posted,duration,views,likes,comments,hashtags,purpose,themes,sentiment,barriers,stakeholders,misinformation,data_supported,seconds
74,2023-01-31,0:58,16400,557,31,"blueland, labgrownmeat, veganuary, meatalternative",Informative/News,"sustainability, animal welfare, health",Positive,"sterile, reduce animal suffering in factory farms",,FALSE,FALSE,58
75,2024-02-22,1:48,2314,44,8,"meat, meatless, healthyeating, themoreyouknow, processedfoods",Informative,"sustainability, animal welfare, economics, politics",Negative,"weird, cost, antibiotics, labeling",health content creators ,FALSE,FALSE,108
76,2024-02-02,2:30,57500,1811,682,"singapore, sgnews, news, singaporefatwacommittee",News,sustainability,Positive,"halal, sustainable",Muslims,FALSE,FALSE,150
77,2023-09-05,1:36,NA,7351,278,"labgrownmeat, judaism, kosher, kosherfood, jewish",Entertainment,,Positive leaning,"kosher, parve",Jewish people,FALSE,FALSE,96
78,2023-11-28,0:29,4953,350,81,"foodiesoftiktok, vegantravel, veganfoodie",Entertainment,"vegan/vegetarian, sustainability, animal welfare",Positive ,good for the environment and animals ,vegans,FALSE,FALSE,29
79,2025-04-04,2:55,1010,74,7,"drreneehoenderkamp, labgrown, fakemeat, nofarmersnofood, netzero",Informative,sustainability,Negative,"high emissions, global warming potential ",doctors,FALSE,TRUE,175
80,2024-02-11,1:18,17100,687,63,"sg, sgfyp, islam, fatwa",Informative,sustainability ,Positive leaning,"halal, sustainable","Muslims, Singaporeans",FALSE,FALSE,78
81,2023-05-04,0:58,49600,1256,54,"labmeat, fetalbovineserum, merck, cellularmeat, cultivatedmeat",Entertainment,economics,Neutral,"cost, fetal bovine serum",Merck,FALSE,FALSE,58
82,2024-05-10,0:45,1091,86,5,"vegetarian, cultivatedmeat, labmeatforfood, labmeats, food",Entertainment,"vegan/vegetarian, animal welfare",Positive,"taste, animal welfare","CIWF, Philip Lymbery, vegetarians",FALSE,FALSE,45
83,2023-06-13,0:59,303100,3523,85,"climate, culturedmeat, meat",Informative,sustainability,Negative,"high emissions, bad for environment",,FALSE,TRUE,59
84,2023-08-06,0:54,NA,329,31,"news, foodtok, cultivatedmeat, science, yahoonews",News,"economics, sustainability, animal welfare",Neutral,high meat consumption ,professors,FALSE,FALSE,54
85,2025-04-05,0:44,1010,74,7,"healthylifestyle, ucdavis, labgrownmeat, fakemeat, sustainability",Informative,sustainabilty,Negative,"energy intensive, high emissions, pharmaceuticals ",Bill Gates,FALSE,TRUE,44
86,2023-10-03,1:29,20900,2675,133,"labmeat, meat, chicken, organic, pastureraised",Informative,"food security, sustainability, economics",Negative,"time-consuming, inefficient, roller bottles","farmers/ranchers, Upside Foods",FALSE,TRUE,89
87,2023-02-21,0:39,729,26,0,"writer, writersoftiktok, vegans, veganrecipes, vegansoftiktok",Entertainment,"vegan/vegetarian, animal welfare, sustainability",Positive,"slaughter-free, speciesist",Vegans,FALSE,TRUE,39
88,2024-03-12,3:09,3194,153,51,"cultivatedmeat, labgrownmeat, agricultureindustry, farming, arizona",Entertainment ,"politics, economics, sustainability, cost",Negative leaning,state bans,farmers/ranchers,FALSE,FALSE,189
89,2024-07-18,0:57,34300,1646,403,,Entertainment,"sustainability, health",Negative,ultra-processed,UK,TRUE,FALSE,57
90,2023-06-27,0:59,8088,543,62,"fakemeat, labgrownmeat, dietitian, usda, fda",Entertainment,"sustainability, health",Negative,"cancer, labeling, long-term health effects",dietitians ,TRUE,FALSE,59
91,2023-06-23,0:52,9300,197,42,"fyp, learnontiktok, fakemeat, fakechicken, labgrownmeat",News/Informative,"sustainability, animal welfare, economics, politics",Neutral,"cost, eco-friendly, slaughter-free",,FALSE,FALSE,52
92,2024-02-12,1:56,1341,93,42,"florida, science, tallahassee, fyp, explore",News,"sustainability, economics, health, politics",Neutral,"health risks, safety","citizens of Florida, ranchers ",FALSE,FALSE,116
93,2024-07-20,1:01,159800,4973,1436,"labgrownfood, uksupermarkets, food, uk, news",News,"politics, economics, animal welfare, sustainability",Neutral,"pet food, environmentally-friendly, animal welfare",UK,FALSE,FALSE,61
94,2023-05-05,0:46,94300,1644,371,cultivatedmeat,News,"economics, animal welfare",Positive,"real meat, slaughter-free, activism, taste",chef Dominique Crenn,FALSE,FALSE,46
95,2023-01-13,0:26,7400,159,100,"vegan, meat, cultivatedmeat, cellmeat, cellbased",Entertainment,"vegan/vegetarian, animal welfare",Positive,no animal suffering,vegans,FALSE,FALSE,26
96,2025-03-11,1:23,47600,2312,1082,"lovelocaltrustlocal, supportsmallbusiness, supportlocal, supportbritishfarmers, community",Advertising/News,economics,Negative,cost,farmers,FALSE,FALSE,83
97,2023-10-12,0:27,2200,53,12,"cultivatedmeat, sustainablefood, sanfrancisco, michelinstarrestaurant",Advertising,"economics, taste, animal welfare",Positive,taste,influencers,FALSE,FALSE,27
98,2023-09-28,0:25,1847,12,3,"steakholderfoods, foodsecurity, STKH, 3Dbioprinting, 3Dprinting",Advertising,food security,Positive,food security,,FALSE,FALSE,25
99,2024-05-06,1:28,22200,1886,209,"eatrep, repprovisions, grassfed, regenerativeagriculture, silvopasture, permaculture",Advertising/Informative,"politics, economics",Negative,"connection to nature, free market, health, consolidation",farmers,FALSE,FALSE,88
100,2023-05-11,0:41,4000,256,99,"vegan, protein, meat, plantbasednews",Entertainment,"economics, animal welfare",Positive,"taste, animal welfare",vegans,FALSE,FALSE,41
